gene_id;gene_name;seqname;type;weighted_fpkm
gene15440;CR14310;NT_033777.3;gene;0.0822607670963267
gene15441;CR44946;NT_033777.3;gene;0.233278111390097
gene15442;CG7675;NT_033777.3;gene;34.8890361660407
gene15443;CG14309;NT_033777.3;gene;10.5823912392348
gene15444;cona;NT_033777.3;gene;1.85363522387538
gene15445;Vha100-4;NT_033777.3;gene;2.71606618693998
gene15446;Vha100-2;NT_033777.3;gene;78.2678974816425
gene15447;Vti1b;NT_033777.3;gene;14.6923409560076
gene15448;CG12333;NT_033777.3;gene;11.1175527043051
gene15449;koko;NT_033777.3;gene;21.6704622642642
gene15450;CG7685;NT_033777.3;gene;7.34889623301282
gene15451;CG31122;NT_033777.3;gene;13.8218134325643
gene15452;CG10864;NT_033777.3;gene;1.17815578248686
gene15453;fru;NT_033777.3;gene;11.2313374958258
gene15454;CG7691;NT_033777.3;gene;0.445105749822362
gene15455;CG43210;NT_033777.3;gene;1.37469213421823
gene15456;hemo;NT_033777.3;gene;NA
gene15458;fray;NT_033777.3;gene;26.2923520847988
gene15457;CG7694;NT_033777.3;gene;32.3883618656142
gene15459;qin;NT_033777.3;gene;2.42526047768801
gene15460;CG14304;NT_033777.3;gene;0.884129692367819
gene15461;CG14305;NT_033777.3;gene;13.0509568306581
gene15462;CG7695;NT_033777.3;gene;122.77882024255
gene15463;tRNA:Pro-TGG-1-5;NT_033777.3;gene;0
gene15464;CG14301;NT_033777.3;gene;3.67705666657008
gene15465;CG31224;NT_033777.3;gene;16.2823027256004
gene15466;CstF64;NT_033777.3;gene;9.95034081093588
gene15467;Cpsf73;NT_033777.3;gene;13.6100672175995
gene15468;Gos28;NT_033777.3;gene;26.5590640978777
gene15469;CG31231;NT_033777.3;gene;3.39170101029432
gene15470;CG31229;NT_033777.3;gene;34.3571768024637
gene15471;CR45028;NT_033777.3;gene;1.19433599069523
gene15472;CG7702;NT_033777.3;gene;5.06742492486437
gene15473;CG31230;NT_033777.3;gene;9.81372036997008
gene15474;CG7705;NT_033777.3;gene;15.9703503590216
gene15475;CG7706;NT_033777.3;gene;6.05471409644984
gene15476;CG7708;NT_033777.3;gene;23.4138085050055
gene15477;CG46318;NT_033777.3;gene;0.359369103286669
gene15478;Muc91C;NT_033777.3;gene;0.154488304464029
gene15479;CG14300;NT_033777.3;gene;0.205304180810948
gene15480;CG34282;NT_033777.3;gene;0.0467925691446949
gene15481;CR45996;NT_033777.3;gene;0.0514447057912437
gene15483;VAChT;NT_033777.3;gene;25.9782563412271
gene15482;ChAT;NT_033777.3;gene;20.1687878712903
gene15484;CR46265;NT_033777.3;gene;0.387066081617373
gene15485;CG34283;NT_033777.3;gene;3.33491267310556
gene15486;CG7714;NT_033777.3;gene;0.311522075464168
gene15487;CG7715;NT_033777.3;gene;0.689916903575449
gene15488;CG14302;NT_033777.3;gene;1.52091159397652
gene15489;Mekk1;NT_033777.3;gene;16.5744473819335
gene15490;CG7718;NT_033777.3;gene;15.6497996082768
gene15491;gwl;NT_033777.3;gene;34.6012648752143
gene15492;Epg5;NT_033777.3;gene;10.3874554307935
gene15493;CG7720;NT_033777.3;gene;40.4733213873186
gene15494;CG18208;NT_033777.3;gene;4.20122215491604
gene15495;CR45633;NT_033777.3;gene;0.96770307909688
gene15496;CG31226;NT_033777.3;gene;288.474928640862
gene15497;CG14298;NT_033777.3;gene;8.21360723095508
gene15498;CG14297;NT_033777.3;gene;12.908347205552
gene15499;Rh2;NT_033777.3;gene;25.1362863557574
gene15500;CG14294;NT_033777.3;gene;7.65996654445856
gene15501;CG34284;NT_033777.3;gene;33.6056351273009
gene15502;CG14292;NT_033777.3;gene;170.145982764854
gene15503;EndoA;NT_033777.3;gene;67.5217208462588
gene15504;CG14291;NT_033777.3;gene;3.38835749178185
gene15505;Xrp1;NT_033777.3;gene;79.4893879167601
gene15506;Mpc1;NT_033777.3;gene;133.419114407022
gene15507;CG42613;NT_033777.3;gene;68.113789278413
gene15508;CG43732;NT_033777.3;gene;1.24203344032579
gene15509;euc;NT_033777.3;gene;68.1728955429311
gene15510;Smu1;NT_033777.3;gene;11.1294670903713
gene15511;dnk;NT_033777.3;gene;56.4114941742894
gene15512;snRNP-U1-C;NT_033777.3;gene;18.4257493990205
gene15513;gukh;NT_033777.3;gene;6.97505425732094
gene15514;CG6005;NT_033777.3;gene;13.356584033101
gene15515;CG14286;NT_033777.3;gene;16.5753191704347
gene15516;CG14285;NT_033777.3;gene;3.72326128658809
gene15517;GatA;NT_033777.3;gene;12.013757521346
gene15518;NP15.6;NT_033777.3;gene;139.28302607165
gene15519;P5cr;NT_033777.3;gene;20.2033465146783
gene15520;Prp18;NT_033777.3;gene;11.1040129447445
gene15521;CG6013;NT_033777.3;gene;16.8745104896195
gene15522;CG6026;NT_033777.3;gene;0.0546807291145482
gene15523;cdi;NT_033777.3;gene;19.677364371012
gene15524;CR46041;NT_033777.3;gene;1.07885205348357
gene15525;mRpL55;NT_033777.3;gene;60.0225773918284
gene15526;ATPsynD;NT_033777.3;gene;486.391864612261
gene15527;CG6040;NT_033777.3;gene;6.47187467784926
gene15528;Cyp12a5;NT_033777.3;gene;8.69564968254509
gene15529;Cyp12a4;NT_033777.3;gene;55.5951851220742
gene15530;Ppcs;NT_033777.3;gene;17.3549905316722
gene15531;CG5835;NT_033777.3;gene;23.9091909442183
gene15532;CR44107;NT_033777.3;gene;2.21435087465398
gene15533;CG11779;NT_033777.3;gene;24.1149153848971
gene15534;nos;NT_033777.3;gene;40.5976111386997
gene15535;Nsun5;NT_033777.3;gene;19.2141603914631
gene15536;CG42359;NT_033777.3;gene;15.6847317177453
gene15537;sqz;NT_033777.3;gene;2.89687958159426
gene15538;CG14282;NT_033777.3;gene;2.13268516534662
gene15539;CG5555;NT_033777.3;gene;19.8094514031691
gene15540;CG31475;NT_033777.3;gene;6.82768868799882
gene15541;CR46039;NT_033777.3;gene;0.289144144579795
gene15542;cry;NT_033777.3;gene;30.6580525311199
gene15543;vib;NT_033777.3;gene;55.7536601586027
gene15544;CG11703;NT_033777.3;gene;2.17925913032765
gene15545;CG5250;NT_033777.3;gene;0.931393401984986
gene15546;CG3773;NT_033777.3;gene;13.0611001122697
gene15547;unc79;NT_033777.3;gene;39.1002129905615
gene15548;CG5217;NT_033777.3;gene;12.4012879493046
gene15549;CG14280;NT_033777.3;gene;0.213953640986106
gene15550;CR44173;NT_033777.3;gene;0.404033164372281
gene15551;CR43451;NT_033777.3;gene;0.279033839872115
gene15552;CG44174;NT_033777.3;gene;0.860390196682301
gene15553;Dl;NT_033777.3;gene;6.81468174381213
gene15554;CR44175;NT_033777.3;gene;2.65184174838031
gene15555;hpRNA:CR46343;NT_033777.3;gene;0.0941234656935379
gene15556;CR43258;NT_033777.3;gene;0.200135296648704
gene15557;CG43203;NT_033777.3;gene;1.33377034218746
gene15558;Ino80;NT_033777.3;gene;5.22895540737169
gene15559;CG3581;NT_033777.3;gene;9.89221898274693
gene15560;CG31404;NT_033777.3;gene;1.86569763427622
gene15561;CG31245;NT_033777.3;gene;4.73336311248931
gene15562;CR34285;NT_033777.3;pseudogene;1.44669997093473
gene15563;CG3734;NT_033777.3;gene;10.8187210923715
gene15564;CG18493;NT_033777.3;gene;22.2982741941324
gene15565;CG3739;NT_033777.3;gene;16.5052881889398
gene15566;CG31244;NT_033777.3;gene;9.21945903536829
gene15567;CG5316;NT_033777.3;gene;16.4527870967057
gene15568;CG11626;NT_033777.3;gene;0.690010354991831
gene15569;CG31221;NT_033777.3;gene;74.7579627476356
gene15570;CG3517;NT_033777.3;gene;16.8708459883864
gene15571;Dys;NT_033777.3;gene;18.0985150962618
gene15572;CG6255;NT_033777.3;gene;9.76976551557815
gene15573;CG15025;NT_033777.3;gene;4.52111659519885
gene15574;snoRNA:Me18S-A1374;NT_033777.3;gene;0
gene15575;Cpr92A;NT_033777.3;gene;1.02349862207045
gene15576;CG7333;NT_033777.3;gene;0.709093027216817
gene15577;CG7342;NT_033777.3;gene;4.77830200028352
gene15578;CG17751;NT_033777.3;gene;6.06701717426547
gene15579;CG17752;NT_033777.3;gene;24.9266994233878
gene15580;CG16727;NT_033777.3;gene;6.73135987943979
gene15581;CG6231;NT_033777.3;gene;16.2775877407148
gene15582;mir-9373;NT_033777.3;gene;NA
gene15583;subdued;NT_033777.3;gene;16.3357704599914
gene15584;CG34138;NT_033777.3;gene;0.98662119718609
gene15585;Vha13;NT_033777.3;gene;328.538586916966
gene15586;Nup58;NT_033777.3;gene;15.830864972785
gene15587;CG6195;NT_033777.3;gene;23.6881792722753
gene15588;CG31220;NT_033777.3;gene;0.0922540452267376
gene15589;CG31219;NT_033777.3;gene;0.113241124262031
gene15590;CG6184;NT_033777.3;gene;9.51549551141375
gene15591;ort;NT_033777.3;gene;7.79802188074768
gene15592;CG7432;NT_033777.3;gene;0.155955352361079
gene15593;Naam;NT_033777.3;gene;8.19683310761266
gene15594;tRNA:Val-CAC-2-5;NT_033777.3;gene;0
gene15595;CG34286;NT_033777.3;gene;4.94502341215206
gene15596;GluClalpha;NT_033777.3;gene;40.1294430088604
gene15597;CR43488;NT_033777.3;gene;0.214826388196202
gene15598;CG6300;NT_033777.3;gene;0.771201614588209
gene15599;CG11659;NT_033777.3;gene;1.00630100060376
gene15600;CG11391;NT_033777.3;gene;9.60430197402182
gene15601;CG11407;NT_033777.3;gene;21.8087410197402
gene15602;CG11453;NT_033777.3;gene;1.83279609416046
gene15603;tRNA:Val-CAC-2-6;NT_033777.3;gene;0
gene15604;tRNA:Ala-AGC-2-11;NT_033777.3;gene;0
gene15605;bnl;NT_033777.3;gene;1.39684303945458
gene15606;tRNA:Thr-AGT-1-7;NT_033777.3;gene;0
gene15607;CG31459;NT_033777.3;gene;10.9134159828237
gene15608;CG4662;NT_033777.3;gene;31.2663040802972
gene15609;Ire1;NT_033777.3;gene;20.6926693710179
gene15610;CG11447;NT_033777.3;gene;12.0424756780732
gene15611;CG4572;NT_033777.3;gene;66.9134004463333
gene15612;CG4686;NT_033777.3;gene;48.9647170296243
gene15613;CG4562;NT_033777.3;gene;13.7045097345757
gene15614;CG17186;NT_033777.3;gene;6.747666517037
gene15615;Arc42;NT_033777.3;gene;28.1082945367653
gene15616;Ask1;NT_033777.3;gene;17.0042834118921
gene15617;ninaE;NT_033777.3;gene;1669.7297355919
gene15618;CG4733;NT_033777.3;gene;7.20094451875842
gene15619;CG4538;NT_033777.3;gene;49.8110421127284
gene15620;Surf6;NT_033777.3;gene;29.7347265117236
gene15621;RhoGAP92B;NT_033777.3;gene;15.5532776998495
gene15622;CR45047;NT_033777.3;gene;0.74078394584443
gene15623;CR45048;NT_033777.3;gene;1.1004294183138
gene15624;Xport-B;NT_033777.3;gene;1.64904291481615
gene15625;Xport-A;NT_033777.3;gene;35.9367907897714
gene15626;CG4465;NT_033777.3;gene;0.239300711644184
gene15627;CG4770;NT_033777.3;gene;0.097367792148894
gene15628;CR43282;NT_033777.3;gene;1.7810968970666
gene15629;hpRNA:1;NT_033777.3;gene;0
gene15630;CR46040;NT_033777.3;gene;8.05671457122141
gene15631;CG4462;NT_033777.3;gene;9.9583164151488
gene15632;CG4459;NT_033777.3;gene;1.25008023531797
gene15633;Hs6st;NT_033777.3;gene;9.64611889905141
gene15634;mira;NT_033777.3;gene;0.377021851641569
gene15635;CR46042;NT_033777.3;gene;3.28804655804917
gene15636;CG4783;NT_033777.3;gene;108.524433122382
gene15637;CG31213;NT_033777.3;gene;1.50079355541078
gene15638;MED25;NT_033777.3;gene;4.69203520199562
gene15639;CG17190;NT_033777.3;gene;6.07661249361213
gene15640;CG4836;NT_033777.3;gene;59.3101249492163
gene15641;PIG-L;NT_033777.3;gene;23.4980942294132
gene15642;psidin;NT_033777.3;gene;13.0399323441546
gene15643;CG4424;NT_033777.3;gene;3.74032656671609
gene15644;CG4854;NT_033777.3;gene;4.91862040984501
gene15645;trem;NT_033777.3;gene;8.33015791484378
gene15646;CG4936;NT_033777.3;gene;12.4345482340203
gene15647;CG10889;NT_033777.3;gene;3.24171083430677
gene15648;CG17193;NT_033777.3;gene;7.19909538379231
gene15649;CG33934;NT_033777.3;gene;0.0991773566848146
gene15650;Indy-2;NT_033777.3;gene;9.39961319527561
gene15651;CG4390;NT_033777.3;gene;63.2397401485902
gene15652;mdlc;NT_033777.3;gene;15.2336468552201
gene15653;Rh3;NT_033777.3;gene;87.9209010581405
gene15654;CG31206;NT_033777.3;gene;16.4400716476517
gene15655;CG10887;NT_033777.3;gene;0.889820780082926
gene15656;Gr92a;NT_033777.3;gene;0.0399135458605706
gene15657;CR42836;NT_033777.3;gene;1.70533886035543
gene15658;CG5023;NT_033777.3;gene;84.2166577011858
gene15659;Nlg4;NT_033777.3;gene;3.1010820303467
gene15660;CG17199;NT_033777.3;gene;1.92052624165405
gene15661;CR46043;NT_033777.3;gene;0.909650557446906
gene15662;cic;NT_033777.3;gene;16.2759025353928
gene15663;CG4367;NT_033777.3;gene;0.0713927454158469
gene15664;CG4362;NT_033777.3;gene;0.0765993900479688
gene15665;CG42668;NT_033777.3;gene;32.9403886774365
gene15666;CG4360;NT_033777.3;gene;18.3746978894145
gene15667;CR45800;NT_033777.3;gene;1.40570403655078
gene15668;Sirt2;NT_033777.3;gene;22.3331563214934
gene15669;Ir92a;NT_033777.3;gene;0.0854007557960841
gene15670;CR45023;NT_033777.3;gene;0.159511338560664
gene15671;MtnC;NT_033777.3;gene;170.506885490957
gene15672;Gfrl;NT_033777.3;gene;10.4968648829364
gene15673;CG4335;NT_033777.3;gene;8.83418201203698
gene15674;eIF3g2;NT_033777.3;gene;2.19265964388101
gene15675;CR44400;NT_033777.3;gene;0.0330681862643041
gene15676;CR44401;NT_033777.3;gene;0.273791320468565
gene15677;Dic2;NT_033777.3;gene;14.8951224876114
gene15678;MtnB;NT_033777.3;gene;6.70694614465277
gene15679;Or92a;NT_033777.3;gene;1.31938282520998
gene15680;MFS9;NT_033777.3;gene;30.1917333667644
gene15681;MtnE;NT_033777.3;gene;14.1266833534778
gene15682;MtnD;NT_033777.3;gene;30.5660286270073
gene15683;Stat92E;NT_033777.3;gene;64.2383008327714
gene15684;DPCoAC;NT_033777.3;gene;25.6047060925564
gene15685;att-ORFB;NT_033777.3;gene;0.64022336409418
gene15686;CG5180;NT_033777.3;gene;11.022245356727
gene15687;CG15922;NT_033777.3;gene;46.4569444566654
gene15688;CG5191;NT_033777.3;gene;21.8592659101332
gene15689;CG10877;NT_033777.3;gene;6.67055188876089
gene15690;snoRNA:Psi18S-301;NT_033777.3;gene;11.714349441345
gene15691;TFAM;NT_033777.3;gene;37.9589716234187
gene15692;CG5412;NT_033777.3;gene;14.0905494349673
gene15693;EloB;NT_033777.3;gene;29.1129317795067
gene15694;Srp14;NT_033777.3;gene;52.4277867540768
gene15695;CG34008;NT_033777.3;gene;5.54441906334997
gene15696;CG16953;NT_033777.3;gene;61.5614902924559
gene15697;sept-02;NT_033777.3;gene;29.9272973369606
gene15698;CR46044;NT_033777.3;gene;0.644994712240109
gene15699;Srp72;NT_033777.3;gene;18.982922259787
gene15700;PUS1;NT_033777.3;gene;7.08746813169234
gene15701;bon;NT_033777.3;gene;15.2038362847313
gene15702;tRNA:Leu-TAA-1-1;NT_033777.3;gene;0
gene15703;CG15923;NT_033777.3;gene;1.25763473424052
gene15704;CG5466;NT_033777.3;gene;11.7887379602384
gene15705;H;NT_033777.3;gene;9.53407581972484
gene15706;Pi3K92E;NT_033777.3;gene;18.3110491648663
gene15707;Lrrk;NT_033777.3;gene;6.8247431497378
gene15708;GluRIIE;NT_033777.3;gene;1.66645516766119
gene15709;GluRIID;NT_033777.3;gene;1.62515232802232
gene15710;Nep4;NT_033777.3;gene;19.7709631331349
gene15711;Cpr92F;NT_033777.3;gene;14.8390788412866
gene15712;CG4000;NT_033777.3;gene;227.881620393344
gene15713;CR45024;NT_033777.3;gene;0.82232832069147
gene15714;CR43452;NT_033777.3;gene;3.3665438341685
gene15715;Oamb;NT_033777.3;gene;8.91926412608763
gene15716;CG31205;NT_033777.3;gene;36.9663899931224
gene15717;CR42786;NT_033777.3;pseudogene;0.946540097630676
gene15718;Cdk2;NT_033777.3;gene;39.0746749357293
gene15719;mir-995;NT_033777.3;gene;0
gene15720;CG17267;NT_033777.3;gene;0.411076619332459
gene15721;CG42322;NT_033777.3;gene;26.0680072534825
gene15722;CG31199;NT_033777.3;gene;54.6421202380489
gene15723;CG31200;NT_033777.3;gene;51.0138448762898
gene15724;Prosalpha4T1;NT_033777.3;gene;2.44100480073801
gene15725;Syp;NT_033777.3;gene;60.3426273754328
gene15726;CG31195;NT_033777.3;gene;13.9477114661231
gene15727;Takl1;NT_033777.3;gene;1.8864626536277
gene15728;Fancd2;NT_033777.3;gene;5.34611204171509
gene15729;CG17270;NT_033777.3;gene;19.3220439606311
gene15730;CG17271;NT_033777.3;gene;32.760243511972
gene15731;RpS20;NT_033777.3;gene;1388.50187067298
gene15732;snoRNA:Psi18S-1295;NT_033777.3;gene;6.65866031473352
gene15733;snoRNA:Psi28S-2562;NT_033777.3;gene;23.0106682931093
gene15734;CG17272;NT_033777.3;gene;37.5782752099675
gene15735;AdSS;NT_033777.3;gene;86.0216181200167
gene15736;CR44047;NT_033777.3;gene;1.06961461712513
gene15737;CG31223;NT_033777.3;gene;7.89513584039423
gene15738;Synd;NT_033777.3;gene;43.634571689739
gene15739;CG15695;NT_033777.3;gene;3.06474704831332
gene15740;CG15696;NT_033777.3;gene;0.0933230017869359
gene15741;RpS30;NT_033777.3;gene;1581.02776010189
gene15742;Ir93a;NT_033777.3;gene;0.29360573701508
gene15743;mir-1011;NT_033777.3;gene;0
gene15744;CG3822;NT_033777.3;gene;11.7279068850432
gene15745;TotA;NT_033777.3;gene;925.855046701433
gene15746;TotC;NT_033777.3;gene;437.184165471861
gene15747;TotB;NT_033777.3;gene;0.559072379371821
gene15748;TotZ;NT_033777.3;gene;0.0382381568715363
gene15749;CR44048;NT_033777.3;gene;0.63372396727101
gene15750;tRNA:Thr-CGT-1-1;NT_033777.3;gene;0
gene15751;tRNA:Thr-CGT-1-2;NT_033777.3;gene;0
gene15752;tRNA:Thr-CGT-1-3;NT_033777.3;gene;0
gene15753;CR44947;NT_033777.3;gene;0.113852445512848
gene15754;Ktl;NT_033777.3;gene;39.4261556642953
gene15755;Grik;NT_033777.3;gene;7.86568082981159
gene15756;TotX;NT_033777.3;gene;48.5039400925605
gene15757;CG31191;NT_033777.3;gene;4.34741051911766
gene15758;CR44106;NT_033777.3;gene;2.35324477642146
gene15759;snoRNA:CG31191-a;NT_033777.3;gene;2.37836142525401
gene15760;hdly;NT_033777.3;gene;20.4694534989485
gene15761;Atpalpha;NT_033777.3;gene;453.317527202288
gene15762;Calx;NT_033777.3;gene;31.5906227670259
gene15763;CG43446;NT_033777.3;gene;0.446896018321162
gene15764;CG10827;NT_033777.3;gene;4.06561070478328
gene15765;CG5697;NT_033777.3;gene;8.11482310667313
gene15766;Rlip;NT_033777.3;gene;21.6013827600684
gene15767;CG17278;NT_033777.3;gene;13.9030653207888
gene15768;Dhc93AB;NT_033777.3;gene;0.713782383615761
gene15769;CG12278;NT_033777.3;gene;0.511805171378965
gene15770;CG31189;NT_033777.3;gene;9.76486166381298
gene15771;CG31207;NT_033777.3;gene;21.360941025935
gene15772;CG7079;NT_033777.3;gene;9.80986238059631
gene15773;CG17279;NT_033777.3;gene;1.34981939426981
gene15774;Mvl;NT_033777.3;gene;33.8500360841538
gene15775;Cortactin;NT_033777.3;gene;19.2310507141805
gene15776;AnxB9;NT_033777.3;gene;123.391520427861
gene15777;r-l;NT_033777.3;gene;22.3115829974639
gene15778;dmrt93B;NT_033777.3;gene;0.154972055663802
gene15779;HHEX;NT_033777.3;gene;0.0941171437438195
gene15780;RhoGAP93B;NT_033777.3;gene;17.8065173465648
gene15781;CR44178;NT_033777.3;gene;2.27531954055637
gene15782;CG7044;NT_033777.3;gene;10.2035330474781
gene15783;CR46045;NT_033777.3;gene;0.182985392195286
gene15784;CG5745;NT_033777.3;gene;15.4689493028542
gene15785;Sec15;NT_033777.3;gene;10.3448377498374
gene15786;rtet;NT_033777.3;gene;17.287761420607
gene15787;Rab11;NT_033777.3;gene;113.714622232397
gene15788;ppan;NT_033777.3;gene;16.6831047512641
gene15789;Bdbt;NT_033777.3;gene;20.2579754481567
gene15790;slmb;NT_033777.3;gene;36.6062820807602
gene15791;CG5793;NT_033777.3;gene;56.4579787963895
gene15792;Obp93a;NT_033777.3;gene;0.141690297957995
gene15793;Ice2;NT_033777.3;gene;6.33855153419804
gene15794;CG7009;NT_033777.3;gene;13.2011705969469
gene15795;Usp8;NT_033777.3;gene;28.8890073864277
gene15796;meigo;NT_033777.3;gene;36.1090899345767
gene15797;SNF4Agamma;NT_033777.3;gene;45.4065166010657
gene15798;cDIP;NT_033777.3;gene;10.1851774444467
gene15799;CG5810;NT_033777.3;gene;1.10897624460012
gene15800;Snmp1;NT_033777.3;gene;9.44737064090172
gene15801;CG5862;NT_033777.3;gene;18.9081042431184
gene15802;CR43975;NT_033777.3;pseudogene;6.89485324528196
gene15803;Smyd5;NT_033777.3;gene;13.7813744253963
gene15804;Oga;NT_033777.3;gene;10.9446541018239
gene15805;CG3337;NT_033777.3;gene;24.6268944726834
gene15806;CR44265;NT_033777.3;gene;1.81337704635222
gene15807;Nelf-A;NT_033777.3;gene;12.0893479601574
gene15808;e;NT_033777.3;gene;15.3419113592429
gene15809;CG5892;NT_033777.3;gene;0.425487638159751
gene15810;ETHR;NT_033777.3;gene;1.07714519052549
gene15811;Rab1;NT_033777.3;gene;131.810984908323
gene15812;CR45798;NT_033777.3;gene;2.10089214216576
gene15813;AP-2sigma;NT_033777.3;gene;109.505162608245
gene15814;CG5919;NT_033777.3;gene;20.8906001151913
gene15815;CG3308;NT_033777.3;gene;62.7033468302343
gene15816;CG3301;NT_033777.3;gene;36.3658409752889
gene15817;SIFaR;NT_033777.3;gene;1.78266228666248
gene15818;CG17298;NT_033777.3;gene;0.305724870333003
gene15819;Hsromega;NT_033777.3;gene;211.788134764622
gene15820;mir-4951;NT_033777.3;gene;0
gene15821;CG16791;NT_033777.3;gene;22.5488274232539
gene15842;mod(mdg4);NT_033777.3;gene;NA
gene15822;pre-mod(mdg4)-B;NT_033777.3;gene;1.00909674241702
gene15823;pre-mod(mdg4)-H;NT_033777.3;gene;0.0429835859130749
gene15824;pre-mod(mdg4)-G;NT_033777.3;gene;2.77996856882109
gene15825;pre-mod(mdg4)-I;NT_033777.3;gene;0.710279867415821
gene15826;pre-mod(mdg4)-P;NT_033777.3;gene;2.55576526745255
gene15827;pre-mod(mdg4)-J;NT_033777.3;gene;0.127074988203154
gene15828;pre-mod(mdg4)-L;NT_033777.3;gene;1.99246104519491
gene15829;pre-mod(mdg4)-K;NT_033777.3;gene;0.0239724141282489
gene15830;pre-mod(mdg4)-T;NT_033777.3;gene;10.5261384356388
gene15831;pre-mod(mdg4)-Z;NT_033777.3;gene;NA
gene15832;pre-mod(mdg4)-E;NT_033777.3;gene;1.06129348999712
gene15833;pre-mod(mdg4)-AB;NT_033777.3;gene;5.58609071208052
gene15834;pre-mod(mdg4)-C;NT_033777.3;gene;2.15259292584004
gene15841;pre-mod(mdg4)-Y;NT_033777.3;gene;3.52271895450852
gene15837;pre-mod(mdg4)-W;NT_033777.3;gene;4.58294467696181
gene15838;pre-mod(mdg4)-X;NT_033777.3;gene;1.36642827133199
gene15839;pre-mod(mdg4)-AD;NT_033777.3;gene;0.292613312884622
gene15840;pre-mod(mdg4)-AE;NT_033777.3;gene;4.02191912638802
gene15836;pre-mod(mdg4)-V;NT_033777.3;gene;4.26511942267465
gene15835;pre-mod(mdg4)-U;NT_033777.3;gene;0.478371024756972
gene15843;pre-mod(mdg4)-O;NT_033777.3;gene;8.21358294862605
gene15844;pre-mod(mdg4)-N;NT_033777.3;gene;1.20795194635459
gene15845;pre-mod(mdg4)-AA;NT_033777.3;gene;1.06607146315664
gene15846;tin;NT_033777.3;gene;0.0649730717908468
gene15847;bap;NT_033777.3;gene;0.49914967705409
gene15848;CG6475;NT_033777.3;gene;0.0742080633276287
gene15849;CR46046;NT_033777.3;gene;0.337328876893925
gene15850;CG7907;NT_033777.3;gene;1.8276132704773
gene15851;CheB93a;NT_033777.3;gene;1.28810874423416
gene15852;CheB93b;NT_033777.3;gene;0.889032616655039
gene15853;lbl;NT_033777.3;gene;1.64990845485343
gene15854;CR44089;NT_033777.3;gene;0.169890458086766
gene15855;lbe;NT_033777.3;gene;0.353555400227182
gene15856;CR43453;NT_033777.3;gene;0.114628423427125
gene15857;Fancm;NT_033777.3;gene;6.52290070693351
gene15858;CR44032;NT_033777.3;gene;0.491229524353147
gene15859;C15;NT_033777.3;gene;0.515327557561046
gene15860;CG7956;NT_033777.3;gene;18.8335521026348
gene15861;CR43372;NT_033777.3;gene;0.0742821241194761
gene15862;CR44033;NT_033777.3;gene;0.114574327071191
gene15863;slou;NT_033777.3;gene;0.605968890874364
gene15864;CG15498;NT_033777.3;gene;3.82313678956729
gene15865;InR;NT_033777.3;gene;6.15198271213756
gene15866;CR43653;NT_033777.3;gene;0.885932673083995
gene15867;CR44034;NT_033777.3;gene;1.03985970435024
gene15868;E2f1;NT_033777.3;gene;21.0047118477485
gene15869;mir-998;NT_033777.3;gene;0
gene15870;mir-11;NT_033777.3;gene;NA
gene15871;CR46055;NT_033777.3;gene;0.417061651417847
gene15872;CR46056;NT_033777.3;gene;0.150345568779922
gene15873;CR46057;NT_033777.3;gene;0.0235979034179996
gene15874;Archease;NT_033777.3;gene;19.5469082267698
gene15875;CG15497;NT_033777.3;gene;0.722766397446275
gene15876;DNApol-alpha180;NT_033777.3;gene;10.2576229366467
gene15877;CG31176;NT_033777.3;gene;1.76821867692275
gene15878;CR44096;NT_033777.3;gene;0.0935811317736898
gene15879;CR43096;NT_033777.3;pseudogene;0.00469326522013826
gene15880;Sfp93F;NT_033777.3;gene;120.586488469769
gene15881;CG42869;NT_033777.3;gene;26.8375990024807
gene15882;CG42870;NT_033777.3;gene;5.71174722594506
gene15883;CG34034;NT_033777.3;gene;79.4160484543621
gene15884;CG5849;NT_033777.3;gene;2.68973531438324
gene15885;CG31343;NT_033777.3;gene;44.3553181444561
gene15886;CG31233;NT_033777.3;gene;24.2785676445433
gene15887;CG31198;NT_033777.3;gene;50.5155839221219
gene15888;CG42335;NT_033777.3;gene;1.06972495042637
gene15889;Burs;NT_033777.3;gene;0.545343035740625
gene15890;GABA-B-R2;NT_033777.3;gene;25.1744228023463
gene15891;CG6800;NT_033777.3;gene;1.42185430793797
gene15892;RpI12;NT_033777.3;gene;17.1629780236006
gene15893;tsl;NT_033777.3;gene;16.4540340682288
gene15894;CASK;NT_033777.3;gene;38.8995402133059
gene15895;CRG;NT_033777.3;gene;47.887125474395
gene15896;mir-999;NT_033777.3;gene;0
gene15897;mir-4969;NT_033777.3;gene;NA
gene15898;CR45632;NT_033777.3;gene;0.0582940200073186
gene15899;Gr93a;NT_033777.3;gene;0.0832997776437089
gene15900;Gr93b;NT_033777.3;gene;0.0511575662042684
gene15901;Gr93c;NT_033777.3;gene;0.0390855393913292
gene15902;CR44087;NT_033777.3;gene;0.101949104592009
gene15903;Gr93d;NT_033777.3;gene;0.0915235681916569
gene15904;glec;NT_033777.3;gene;44.2027199902926
gene15905;CR45644;NT_033777.3;gene;0.280221141123312
gene15906;CR45645;NT_033777.3;gene;0.208799327427639
gene15907;lsn;NT_033777.3;gene;17.8453222304557
gene15908;CG6569;NT_033777.3;gene;6.92662553287658
gene15909;Cby;NT_033777.3;gene;1.55864805774066
gene15910;CG31174;NT_033777.3;gene;7.61256750106161
